label,code count,code,parent,parent count,sort order,description
Corporate Wireless,1,corporate_wifi,wifi,1,1610,"inside/outside corporate Wi-Fi, conference rooms, etc."
Bluetooth,1,bluetooth,networking,1,1620,
NFC,1,nfc,networking,1,1630,"Near-field communication, tap-to-pay, transfer contact, etc."
Cable,1,cable,networking,1,1640,
USB,1,usb,cable,1,1650,
Firewire,1,firewire,cable,1,1660,
Thunderbolt,1,thunderbolt,cable,1,1670,
HDMI,1,hdmi,cable,1,1680
DevOps,1,dev_ops,top,1,1690
Capistrano,1,capistrano,dev_ops,1,1700
Chef,1,chef,dev_ops,1,1710
AWS,1,aws,dev_ops,1,1720
Puppet,1,puppet,dev_ops,1,1730
HP Cloud,1,hp_cloud,dev_ops,1,1740
Deploy procedures,1,deploy,dev_ops,1,1750
Rollback,1,rollback,deploy,1,1760
Windows,1,windows,dev_ops,1,1770
Server,1,server,windows,1,1780
XP,1,xp,windows,1,1790
Vista,1,vista,windows,1,1800
7,1,win7,windows,1,1810
8,1,win8,windows,1,1820
Linux,1,linux,dev_ops,1,1830
Apache,1,apache,linux,1,1840,
mod_rewrite,1,rewrite,apache,1,1850,URL rewriting
Performance,1,performance,dev_ops,1,1860,
Assessment,1,performance_assess,dev_ops,1,1870,"baseline, capacity, etc."
jMeter,1,jmeter,performance_assess,1,1880,
Monitoring,1,peformance_monitoring,performance,1,1890,
Optimizing,1,optimizing,performance,1,1900,
Resilience/robustness,1,resilience,optimizing,1,1910,
Chaos Monkey,1,chaos_monkey,resilience,1,1920,
Stress testing,1,stress,resilience,1,1930,
Cost Reduction,1,cost_reduction,optimizing,1,1940,
Network Administration,1,network,dev_ops,1,1950,
LAN,1,lan,network,1,1960,Local Area Network
Wireless,1,wireless,network,1,1970,"internal, site-specific networks"
Workstation Setup,1,workstation,network,1,1980,OS installation/configuration
Account management,1,account,network,1,1990,"groups, privleges, etc."
Security,1,security,dev_ops,1,2000
Assessment,1,assessment,security,1,2010
Monitoring,1,security_monitoring,security,1,2020
Compliance,1,security_compliance,security,1,2030
Design,1,design,top,1,2040
Fundamentals,1,fundamentals,design,1,2050
Form,1,form,fundamentals,1,2060
Composition,1,composition,fundamentals,1,2070
Perspective,1,perspective,fundamentals,1,2080
Color theory,1,color,fundamentals,1,2090
Grid design,1,grid,fundamentals,1,2100
Fixed,1,fixed,grid,1,2110
Fluid,1,fluid,grid,1,2120
Photoshop,1,photoshop,design,1,2130
Illustrator,1,illustrator,design,1,2140
In Design,1,in_design,design,1,2150
3D,1,three_d,design,1,2160
Maya,1,maya,three_d,1,2170
Printing,1,printing,three_d,1,2180
Video editing/processing,1,video,design,1,2190
Animation,1,animation,design,1,2200
motion graphics,1,motion,animation,1,2210
Flash,1,flash,design,1,2220
ActionScript,1,action,flash,1,2230
Photography,1,photo,design,1,2240
Analog,1,analog,photo,1,2250
Digital,1,digital,photo,1,2260
Image processing,1,processing,photo,1,2270
Large format,1,large_format,design,1,2280
Interaction Design,1,ix,design,1,2290
Touch interfaces,1,touch,ix,1,2300
Gestural interfaces,1,gesture,ix,1,2310
Game design,1,game_design,design,1,2320
User Experience Design,1,ux,design,1,2330
Visual Design,1,visual,design,1,2340
Industrial Design,1,industrial,design,1,2350
Front panel,1,front_panel,industrial,1,2360
Axure,1,axure,design,1,2370
Rapid prototyping,1,prototyping,design,1,2380
User Testing,1,user_testing,design,1,2390
A/B Test Design,1,a_b_design,user_testing,1,2400
User flow,1,user_flow,design,1,2410
Social features,1,social_design,design,1,2420
Gameification,1,gameification,social_design,1,2430
Usability,1,usability,design,1,2440
Survey/Feedback design,1,survey,design,1,2450
Accessibility,1,accessible_design,design,1,2460
Specifications,1,specs,design,1,2470
Illustration,1,illustration,design,1,2480,
Icon design,1,icon,design,1,2490,
Typography,1,type,design,1,2500,
Web typography,1,web_type,type,1,2510,
Management,1,management,top,1,2520,
Business Strategy,1,business,management,1,2530,
Cost/Benefit Analysis,1,cost_benefit,business,1,2540,
Market Definition,1,market_definition,business,1,2550,"Description, demographics, sizing, predictions, etc."
Advertising,1,advertising,business,1,2560,"campaign strategy, demographics, etc."
Social Strategy,1,social_strategy,business,1,2570,Market approach
Meeting Facilitation,1,meeting,management,1,2580,
Brainstorm leading,1,brainstorm_management,meeting,1,2590,
Best place twork,1,best_place,meeting,1,2600,
VOW efficacy,1,vow,meeting,1,2610,
Monthly Checkup,1,monthly,meeting,1,2620,
Events Planning,1,events,management,1,2630,
Fun Events,1,fun,events,1,2640,"ice breakers, gift exchanges, offsite play, etc."
Team Building,1,team,events,1,2650,"constructive, on and off site"
Holiday Festival,1,holiday,events,1,2660,"booths, kid events"
Special Projects,1,special,events,1,2670,"games, skits, trade shows, media, etc."
Volunteer/Outreach,1,outreach,events,1,2680,
Program Management,1,program,management,1,2690,
Scheduling,1,scheduling,program,1,2700,work estimation
Waterfall,1,waterfall,program,1,2710,development cycle
Microsoft Projects,1,ms,program,1,2720,
Product Lead,1,product,management,1,2730,
Requirements,1,requirements,product,1,2740,gathering/definition
Marketing liaison,1,marketing,product,1,2750,
Metrics Requirements,1,metrics,management,1,2760,
Reports definition,1,reports_requirements,metrics,1,2770,gathering and documenting requirements
Numerical analysis,1,analysis,metrics,1,2780,"querying, reducing, and presenting data"
CRM,1,crm,management,1,2790,Customer Relations Management
Issues tracking,1,issues,crm,1,2800,
FAQ /Knowledge base,1,faq,crm,1,2810,
Defect/request tracking,1,defect,crm,1,2820,
Email design,1,email,crm,1,2830,"Newsletters, HTML/CSS, etc."
Mailing list management,1,list_management,crm,1,2840,
Social media presence,1,social_management,crm,1,2850,
Social,1,social,management,1,2860,
Brand management,1,brand,social,1,2870,
Twitter brand voice,1,twitter,social,1,2880,"Tweet stream, retweets, following, etc."
FB page voice,1,fb,social,1,2890,"Posts, likes, etc."
HP,1,hp,top,1,2900,Hewlett-Packard Company
Printer Mech,1,mech,hp,1,2910,
Ink jet theory,1,inkjet,hp,1,2920,"Mechanical enigeering, thermodynamics"
Ink chemistry,1,ink,hp,1,2930,
Media,1,media,hp,1,2940,
Writing Systems,1,writing,hp,1,2950,
HP Internals,1,internals,hp,1,2960,company-specific
Travel,1,travel,internals,1,2970,"booking, changes, rules, etc."
IT relationship,1,it,internals,1,2980,"tips, tricks, contacts and caveats"
Procurement,1,procurement,internals,1,2990,"smart card, software purchase, etc."
Other,1,other,top,1,3000,
Writing/Authorship,1,author,other,1,3010,
Documentation,1,documentation,author,1,3020,
Teaching,1,teaching,other,1,3030,
Mentoring,1,mentor,other,1,3040,
Interviewing,1,interview,other,1,3050,
Ideation,1,ideation,other,1,3060,
Brainstorming,1,brainstorm,ideation,1,3070,
Root cause analysis,1,root_cause,ideation,1,3080,
KT analysis,1,kt,ideation,1,3090,decision making
PPA,1,ppa,ideation,1,3100,potential-problem analysis
Interior/workspace design,1,workspace,other,1,3110,"Personalization, layout, etc."
Cool,1,cool,other,1,3120,
Horseplay specialist,1,horesplay,cool,1,3130,
Grump,1,grump,cool,1,3140,
Fashion Consultant,1,fashion,cool,1,3150,
Matchmaker,1,match,cool,1,3160,
Athlete,1,athlete,cool,1,3170,
Baker,1,baker,cool,1,3180,"cupcakes, brownies, cakes, etc."
Brewmaster,1,brew,cool,1,3190,
Sailor,1,sailor,cool,1,3200,
Listener,1,listener,cool,1,3210,
Musician,1,music,cool,1,3220,
